,question,answer
42,Phương pháp Định tính yêu cầu hóa chất nào?,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""định tính"" RETURN c.id"
43,Linh chi được kiểm nghiệm bằng phương pháp nào,"MATCH (d:DRUG)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""linh chi"" RETURN t.id"
44,Phương pháp Độ ẩm có chỉ số kỹ thuật nào?,"MATCH (tm:TEST_METHOD)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(tm.id) CONTAINS ""độ ẩm"" RETURN s.id"
45,Phương pháp sắc ký lỏng yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""sắc ký lỏng"" RETURN c.id"
46,Phương pháp chiết lạnh yêu cầu hóa chất nào,"MATCH (tm:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(tm.id) CONTAINS ""chiết lạnh"" RETURN c.id"
47,Thanh kiều được kiểm nghiệm bằng phương pháp nào,"MATCH (d:DRUG)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""thanh kiều"" RETURN t.id"
48,Lão kiều có tiêu chuẩn nào,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""lão kiều"" RETURN s.id"
49,Thanh kiều có tiêu chuẩn nào,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""thanh kiều"" RETURN s.id"
50,Phương pháp Định lượng yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""định lượng"" RETURN c.id"
51,Hoạt chất vitexin có chỉ số kỹ thuật nào,"MATCH (c:CHEMICAL)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(c.id) CONTAINS ""vitexin"" RETURN s.id"
52,Phương pháp chiết lạnh yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""chiết lạnh"" RETURN c.id"
53,Bột chứa thành phần nào,"MATCH (b:CHEMICAL)-[:CONTAINS]->(c:CHEMICAL) WHERE toLower(b.id) CONTAINS ""bột"" RETURN c.id"
54,Phương pháp Tro không tan trong acid hydrocloric yêu cầu hóa chất nào?,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""tro không tan trong acid hydrocloric"" RETURN c.id"
55,Bột nhão chứa thành phần nào,"MATCH (d:DRUG)-[:CONTAINS]->(c:CHEMICAL) WHERE toLower(d.id) CONTAINS ""bột nhão"" RETURN c.id"
56,LIÊN KIỀU được sản xuất bằng phương pháp nào?,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""liên kiều"" RETURN p.id"
57,LIÊN KIỀU được bảo quản ở điều kiện môi trường nào?,"MATCH (d:DRUG)-[:STORED_AT]->(s:STORAGE_CONDITION) WHERE toLower(d.id) CONTAINS ""liên kiều"" RETURN s.id"
58,LIÊN KIỀU chứa hoạt chất nào,"MATCH (d:DRUG)-[:CONTAINS]->(c:CHEMICAL) WHERE toLower(d.id) CONTAINS ""liên kiều"" RETURN c.id"
59,LIÊN KIỀU có chỉ số kỹ thuật nào?,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""liên kiều"" RETURN s.id"
60,Bột nhão điều trị bệnh nào,"MATCH (d:DRUG)-[:TREATS]->(dis:DISEASE) WHERE toLower(d.id) CONTAINS ""bột nhão"" RETURN dis.id"
61,LIÊN KIỀU được kiểm nghiệm bằng phương pháp nào,"MATCH (d:DRUG)-[:TESTED_BY]->(tm:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""liên kiều"" RETURN tm.id"
62,Tinh thể calci oxalat hình cầu gai có chỉ số kỹ thuật nào,"MATCH (c:CHEMICAL)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(c.id) CONTAINS ""tinh thể calci oxalat hình cầu gai"" RETURN s.id"
63,LẠC TIÊN được kiểm nghiệm bằng phương pháp nào?,"MATCH (d:DRUG)-[:TESTED_BY]->(tm:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""lạc tiên"" RETURN tm.id"
64,LẠC TIÊN được sản xuất bằng phương pháp nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""lạc tiên"" RETURN p.id"
65,LẠC TIÊN chứa thành phần nào,"MATCH (d:DRUG)-[:CONTAINS]->(c:CHEMICAL) WHERE toLower(d.id) CONTAINS ""lạc tiên"" RETURN c.id"
66,LẠC TIÊN được sản xuất từ sinh vật nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(o:ORGANISM) WHERE toLower(d.id) CONTAINS ""lạc tiên"" RETURN o.id"
67,Phương pháp giã nát yêu cầu hóa chất nào,"MATCH (p:PRODUCTION_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(p.id) CONTAINS ""giã nát"" RETURN c.id"
68,Lá móng có chỉ số kỹ thuật nào về liều lượng?,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""lá móng"" AND toLower(s.id) CONTAINS ""liều lượng"" RETURN s.id"
69,Lá móng có chỉ số kỹ thuật nào về bộ phận khác của cây?,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""lá móng"" AND toLower(s.id) CONTAINS ""bộ phận khác của cây"" RETURN s.id"
70,Lá móng được bảo quản ở điều kiện nào,"MATCH (d:DRUG)-[:STORED_AT]->(s:STORAGE_CONDITION) WHERE toLower(d.id) CONTAINS ""lá móng"" RETURN s.id"
71,Lá móng điều trị bệnh nào?,"MATCH (d:DRUG)-[:TREATS]->(dis:DISEASE) WHERE toLower(d.id) CONTAINS ""lá móng"" RETURN dis.id"
72,Lá móng được sản xuất bằng phương pháp nào?,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""lá móng"" RETURN p.id"
73,Phương pháp Độ ẩm có chỉ số kỹ thuật nào,"MATCH (s:STANDARD)-[:TESTED_BY]->(tm:TEST_METHOD) WHERE toLower(tm.id) CONTAINS ""độ ẩm"" RETURN s.id"
74,LÁ MÓNG được sản xuất từ sinh vật nào,"MATCH (d:DRUG)-[:TARGETS]->(o:ORGANISM) WHERE toLower(d.id) CONTAINS ""lá móng"" RETURN o.id"
75,Lá móng có chỉ số kỹ thuật nào về tỷ lệ vụn nát?,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""lá móng"" AND toLower(s.id) CONTAINS ""tỷ lệ vụn nát"" RETURN s.id"
76,Lá móng có chỉ số kỹ thuật nào về tạp chất vô cơ?,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""lá móng"" AND toLower(s.id) CONTAINS ""tạp chất vô cơ"" RETURN s.id"
77,Phương pháp Tạp chất có chỉ số kỹ thuật nào,"MATCH (tm:TEST_METHOD) WHERE toLower(tm.id) CONTAINS ""tạp chất"" MATCH (d:DRUG)-[:TESTED_BY]->(tm) MATCH (d)-[:HAS_STANDARD]->(s:STANDARD) RETURN s.id"
78,Lá móng có chỉ số kỹ thuật nào về độ ẩm?,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""lá móng"" AND toLower(s.id) CONTAINS ""độ ẩm"" RETURN s.id"
79,Phương pháp Phụ lục 12.12 có chỉ số kỹ thuật nào,"MATCH (s:STANDARD)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(t.id) CONTAINS ""phụ lục 12.12"" RETURN s.id"
80,Phương pháp Phụ lục 9.6 có chỉ số kỹ thuật nào,"MATCH (s:STANDARD)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(t.id) CONTAINS ""phụ lục 9.6"" RETURN s.id"
81,Lá móng được kiểm nghiệm bằng phương pháp nào?,"MATCH (d:DRUG)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""lá móng"" RETURN t.id"
82,Phương pháp sắc ký lớp mỏng có chỉ số kỹ thuật nào,"MATCH (tm:TEST_METHOD)<-[:TESTED_BY]-(d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(tm.id) CONTAINS ""sắc ký lớp mỏng"" RETURN s.id"
83,Phương pháp Tro toàn phần có chỉ số kỹ thuật nào?,"MATCH (t:TEST_METHOD)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(t.id) CONTAINS ""tro toàn phần"" RETURN s.id"
84,Phương pháp Sắc ký lớp mỏng yêu cầu thuốc nào,"MATCH (d:DRUG)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(t.id) CONTAINS ""sắc ký lớp mỏng"" RETURN d.id"
85,Phương pháp Sắc ký lớp mỏng yêu cầu hóa chất nào,"MATCH (tm:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(tm.id) CONTAINS ""sắc ký lớp mỏng"" RETURN c.id"
86,Phương pháp Định tính yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""định tính"" RETURN c.id"
87,Liên kiều được sản xuất từ vi sinh vật nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(o:ORGANISM) WHERE toLower(d.id) CONTAINS ""liên kiều"" RETURN o.id"
88,Dược liệu chứa thành phần hóa học nào?,"MATCH (d:DRUG)-[:CONTAINS]->(c:CHEMICAL) WHERE toLower(d.id) CONTAINS ""dược liệu"" RETURN c.id"
89,Liên kiều được sản xuất bằng phương pháp nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""liên kiều"" RETURN p.id"
90,Lạc tiên điều trị bệnh nào,"MATCH (d:DRUG)-[:TREATS]->(dis:DISEASE) WHERE toLower(d.id) CONTAINS ""lạc tiên"" RETURN dis.id"
91,Lạc tiên được bảo quản tại điều kiện nào,"MATCH (d:DRUG)-[:STORED_AT]->(s:STORAGE_CONDITION) WHERE toLower(d.id) CONTAINS ""lạc tiên"" RETURN s.id"
92,Dược liệu được kiểm nghiệm bằng phương pháp nào,"MATCH (d:DRUG)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""dược liệu"" RETURN t.id"
93,Lạc tiên được sản xuất bằng phương pháp nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""lạc tiên"" RETURN p.id"
94,Calci oxalat có chỉ số kỹ thuật nào?,"MATCH (c:CHEMICAL)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(c.id) CONTAINS ""calci oxalat"" RETURN s.id"
95,Phương pháp sắc ký lớp mỏng yêu cầu hóa chất nào,"MATCH (tm:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(tm.id) CONTAINS ""sắc ký lớp mỏng"" RETURN c.id"
96,Phương pháp Định tính B yêu cầu hóa chất nào?,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""định tính b"" RETURN c.id"
97,Phương pháp Định tính A yêu cầu hóa chất nào?,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""định tính a"" RETURN c.id"
98,Dịch lọc được bảo quản ở điều kiện nào?,"MATCH (c:CHEMICAL)-[:STORED_AT]->(s:STORAGE_CONDITION) WHERE toLower(c.id) CONTAINS ""dịch lọc"" RETURN s.id"
99,Lạc tiên được kiểm nghiệm bằng phương pháp nào?,"MATCH (d:DRUG)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""lạc tiên"" RETURN t.id"
100,LÁ MÓNG có chỉ số kỹ thuật nào,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""lá móng"" RETURN s.id"
101,Phương pháp Định tính yêu cầu hóa chất nào,"MATCH (tm:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(tm.id) CONTAINS ""định tính"" RETURN c.id"
102,LÁ MÓNG được kiểm nghiệm bằng phương pháp nào?,"MATCH (d:DRUG)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""lá móng"" RETURN t.id"
103,Dược liệu khô kiệt có tiêu chuẩn nào,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""dược liệu khô kiệt"" RETURN s.id"
104,LÁ MÓNG chứa hóa chất nào,"MATCH (d:DRUG)-[:CONTAINS]->(c:CHEMICAL) WHERE toLower(d.id) CONTAINS ""lá móng"" RETURN c.id"
105,LÁ MÓNG điều trị bệnh nào?,"MATCH (d:DRUG)-[:TREATS]->(dis:DISEASE) WHERE toLower(d.id) CONTAINS ""lá móng"" RETURN dis.id"
106,Lá Móng điều trị bệnh nào,"MATCH (d:DRUG)-[:TREATS]->(dis:DISEASE) WHERE toLower(d.id) CONTAINS ""lá móng"" RETURN dis.id"
107,Dược liệu được kiểm nghiệm bằng phương pháp nào?,"MATCH (d:DRUG)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""lá lốt"" RETURN t.id"
108,LÁ HEN được sản xuất từ sinh vật nào?,"MATCH (d:DRUG)-[:PRODUCED_BY]->(o:ORGANISM) WHERE toLower(d.id) CONTAINS ""lá hen"" RETURN o.id"
109,Lá Móng được sản xuất bằng phương pháp nào?,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""lá móng"" RETURN p.id"
110,Lá Móng được bảo quản ở điều kiện nào?,"MATCH (d:DRUG)-[:STORED_AT]->(s:STORAGE_CONDITION) WHERE toLower(d.id) CONTAINS ""lá móng"" RETURN s.id"
111,Dược liệu có tiêu chuẩn nào,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""dược liệu"" RETURN s.id"
112,Dược liệu khô có tiêu chuẩn nào,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""dược liệu khô"" RETURN s.id"
113,Phương pháp Định lượng tinh dầu trong dược liệu yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""định lượng tinh dầu trong dược liệu"" RETURN c.id"
114,Phương pháp Định tính có tiêu chuẩn nào,"MATCH (tm:TEST_METHOD)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(tm.id) CONTAINS ""định tính"" RETURN s.id"
115,Phương pháp sắc ký lớp mỏng yêu cầu hóa chất nào?,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""sắc ký lớp mỏng"" RETURN c.id"
116,Phương pháp Định tính yêu cầu hóa chất nào?,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""định tính"" RETURN c.id"
117,LÁ HEN được kiểm nghiệm bằng phương pháp nào,"MATCH (d:DRUG)-[:TESTED_BY]->(tm:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""lá hen"" RETURN tm.id"
118,Lá lốt được sản xuất từ sinh vật nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(o:ORGANISM) WHERE toLower(d.id) CONTAINS ""lá lốt"" RETURN o.id"
119,Tiêu chuẩn Tạp chất có chỉ số kỹ thuật nào,"MATCH (s:STANDARD) WHERE toLower(s.id) CONTAINS ""tạp chất"" RETURN s.id"
120,LÁ HEN có tiêu chuẩn nào,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""lá hen"" RETURN s.id"
121,Calci oxalat có chỉ số kỹ thuật nào?,"MATCH (c:CHEMICAL)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(c.id) CONTAINS ""calci oxalat"" RETURN s.id"
122,LÁ HEN chứa hóa chất nào?,"MATCH (d:DRUG)-[:CONTAINS]->(c:CHEMICAL) WHERE toLower(d.id) CONTAINS ""lá hen"" RETURN c.id"
123,LÁ HEN được sản xuất bằng phương pháp nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""lá hen"" RETURN p.id"
124,Lá lốt được sản xuất từ sinh vật nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(o:ORGANISM) WHERE toLower(d.id) CONTAINS ""lá lốt"" RETURN o.id"
125,LÁ HEN điều trị bệnh gì?,"MATCH (d:DRUG)-[:TREATS]->(dis:DISEASE) WHERE toLower(d.id) CONTAINS ""lá hen"" RETURN dis.id"
126,Phương pháp Định tính yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""định tính"" RETURN c.id"
127,Lá lốt được kiểm nghiệm bằng phương pháp nào,"MATCH (d:DRUG)-[:TESTED_BY]->(tm:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""lá lốt"" RETURN tm.id"
128,Lá lốt chứa hóa chất nào,"MATCH (d:DRUG)-[:CONTAINS]->(c:CHEMICAL) WHERE toLower(d.id) CONTAINS ""lá lốt"" RETURN c.id"
129,Phương pháp sắc ký lớp mỏng yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""sắc ký lớp mỏng"" RETURN c.id"
130,Lá lốt có tiêu chuẩn nào,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""lá lốt"" RETURN s.id"
131,Phản ứng định tính alcaloid yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""phản ứng định tính alcaloid"" RETURN c.id"
132,LÁ HEN tác động lên cơ quan nào,"MATCH (d:DRUG)-[:TARGETS]->(o:DISEASE) WHERE toLower(d.id) CONTAINS ""lá hen"" RETURN o.id"
133,Lá lốt điều trị bệnh nào?,"MATCH (d:DRUG)-[:TREATS]->(dis:DISEASE) WHERE toLower(d.id) CONTAINS ""lá lốt"" RETURN dis.id"
134,Lá lốt được bảo quản ở điều kiện nào,"MATCH (d:DRUG)-[:STORED_AT]->(s:STORAGE_CONDITION) WHERE toLower(d.id) CONTAINS ""lá lốt"" RETURN s.id"
135,Lá lốt được sản xuất bằng phương pháp nào?,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""lá lốt"" RETURN p.id"
136,LÁ HEN được sản xuất bằng phương pháp nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""lá hen"" RETURN p.id"
